fullName,Misc1,Misc2,Misc3,Misc4
Vernon Magar,0.01482792831,0.2130743243,0.7485212404,0.8327043251
Laurence Adragna,0.0198567368,0.5647071969,0.8963633654,0.5438607144
Jami Wright,0.9256270147,0.8056327993,0.4966914888,0.332835492
Matthew Lewis,0.4428540989,0.8783288987,0.3126440935,0.1876633575
Kim Torrez,0.7631295252,0.6098279412,0.2005929608,0.546694194
Betty Kleinman,0.7338444938,0.6973305894,0.5829752503,0.1157520126
Frank Gomez,0.7897266675,0.8745751606,0.7463337501,0.4103394367
Martin Salvato,0.06302176626,0.8894948344,0.4286316498,0.1335980875
Andy Goodwin,0.773049344,0.5163670219,0.5057932101,0.4761281892
Shannon Smyth,0.9441950535,0.2670516145,0.09158638085,0.3145803154
Robert Crouch,0.7778619194,0.4928065177,0.4315552379,0.5126120289
George Froelich,0.4888892495,0.7073342372,0.6579626089,0.5977871671
James Brown,0.3731285676,0.05169006247,0.304179141,0.3176904441
Michael Vandyke,0.3146292249,0.5819473308,0.07969018373,0.1829647346
Dorothy Oyler,0.2073921381,0.88376325,0.1634577365,0.1434322388
Karl Cavanaugh,0.7242911382,0.9426160214,0.7411580656,0.9905614102
Joan Walls,0.4470361579,0.04951569989,0.1230259152,0.3226471425
Jerry Willardson,0.6881576428,0.4899989476,0.3732399999,0.2539425216
Dennis Olson,0.3886401233,0.2230078256,0.4029858209,0.3470365578
Susan Rodriguez,0.5031055349,0.9013574191,0.2008906253,0.539474294
Catherine Robinson,0.09867964866,0.5067399796,0.7964297304,0.9357128939
Hillary Baker,0.5446951365,0.9549010103,0.1461971917,0.5672522717
Rosa Hoang,0.6045881227,0.1071159939,0.3943109131,0.0403050841
Gerald Lary,0.1164500513,0.6068179184,0.7480860416,0.002845670118
Laurie Pree,0.5671299134,0.1343762268,0.1636098244,0.3261488809
