fullName,Misc1,Misc2,Misc3,Misc4
Vernon Magar,0.06778342188,0.1258769866,0.3438960198,0.4603409308
Laurence Adragna,0.2690148866,0.1204556475,0.5428993448,0.04798568661
Jami Wright,0.6221084744,0.9975473376,0.3353973627,0.8413683622
Matthew Lewis,0.430199843,0.751113682,0.5599290343,0.1612505145
Kim Torrez,0.8254883648,0.2273581712,0.8256880161,0.8921976677
Betty Kleinman,0.5309109275,0.74865969,0.9734969118,0.06606136636
Frank Gomez,0.1307418969,0.7781733723,0.9377535158,0.1720511868
Martin Salvato,0.4726859762,0.6620585646,0.9723682233,0.6445069558
Andy Goodwin,0.7908635739,0.3642533125,0.8221334347,0.343796702
Shannon Smyth,0.4679699519,0.3416105563,0.7362175468,0.7123704643
Robert Crouch,0.2924053488,0.591378484,0.3323664402,0.5097069776
George Froelich,0.7661463553,0.1794359546,0.2292603863,0.3476406228
James Brown,0.41449918,0.9562664744,0.9573106878,0.2692397522
Michael Vandyke,0.4311156522,0.8347109781,0.7851275518,0.3723041593
Dorothy Oyler,0.1297177523,0.9259975414,0.3845757005,0.9911489809
Karl Cavanaugh,0.8360981286,0.151157938,0.322842688,0.4956018718
Joan Walls,0.876801658,0.09442923447,0.422501242,0.1044520702
Jerry Willardson,0.9018312694,0.7183616843,0.3091119438,0.6769672622
Dennis Olson,0.4483444077,0.3541878175,0.8123061865,0.5624058684
Susan Rodriguez,0.4153247385,0.9149471431,0.7425536101,0.02668232981
Catherine Robinson,0.5333890219,0.9471610577,0.9799024525,0.541195708
Hillary Baker,0.4077126768,0.6257062332,0.5639948693,0.1851980615
Rosa Hoang,0.2232514798,0.8089859017,0.2242451999,0.4991473623
Gerald Lary,0.7495108196,0.4247268112,0.1546707975,0.9645244518
Laurie Pree,0.869562074,0.5274638239,0.6349165243,0.8696905288
,,,,
,,,,
Vernon Magar,0.906665051,0.995611911,0.5362123224,0.625160434
Laurence Adragna,0.3969177422,0.5738425157,0.9560871242,0.725065149
Jami Wright,0.8274509945,0.001050379392,0.6592994679,0.06586656902
Matthew Lewis,0.7794007224,0.4849688929,0.06650634167,0.6189176648
Kim Torrez,0.8351383624,0.9421308316,0.9040329308,0.9960773851
Betty Kleinman,0.2770810929,0.1741631421,0.02048164097,0.2030965606
Frank Gomez,0.4107165389,0.01895739302,0.6934381541,0.03050791482
Martin Salvato,0.9968010573,0.3531969951,0.3022316253,0.0678284725
Andy Goodwin,0.03310419202,0.5621433826,0.3034331336,0.5018541701
Shannon Smyth,0.02176655052,0.1169344672,0.5040877598,0.1248591227
Robert Crouch,0.3524781137,0.01592137338,0.9934942001,0.01201223998
George Froelich,0.5344454916,0.679688577,0.7205510514,0.07302055725
James Brown,0.8372107375,0.873757057,0.01014712995,0.1822945518
Michael Vandyke,0.8247328579,0.002836967231,0.2406287439,0.1604424456
Dorothy Oyler,0.1257271312,0.03770894648,0.4743377258,0.6790990463
Karl Cavanaugh,0.1274185615,0.674131236,0.4980996093,0.4969278854
Joan Walls,0.4386044507,0.6601977168,0.1181316924,0.6464980191
Jerry Willardson,0.7249558157,0.8772116966,0.7028167741,0.7763255739
Dennis Olson,0.4861208568,0.6018799499,0.9544680029,0.498155781
Susan Rodriguez,0.6412575389,0.2482016692,0.7782014077,0.07896092268
Catherine Robinson,0.4330357151,0.6755951841,0.4147892723,0.2846141561
Hillary Baker,0.5758740506,0.08634948051,0.4099709872,0.9979069718
Rosa Hoang,0.949595899,0.645629483,0.8953673126,0.8131852624
Gerald Lary,0.8496914137,0.4520802704,0.9862622285,0.9327802092
Laurie Pree,0.9326835242,0.8936967072,0.3392268562,0.4394709372
,,,,
Vernon Magar,0.2366525517,0.3588778439,0.1300757829,0.1737964745
Laurence Adragna,0.1330179911,0.7803514312,0.3704268049,0.3904283739
Jami Wright,0.4045290678,0.9453369339,0.7712838187,0.5288554363
Matthew Lewis,0.5340795813,0.2807413691,0.8119899503,0.5853216586
Kim Torrez,0.5277177232,0.4457743982,0.9712305972,0.4808474046
Betty Kleinman,0.3312641176,0.04633420042,0.5005896113,0.06367507286
Frank Gomez,0.3825098793,0.4299622912,0.3611377275,0.7190883311
Martin Salvato,0.2965254883,0.6139047687,0.8820304796,0.6643799978
Andy Goodwin,0.3022190705,0.5276070421,0.7028360001,0.5547017136
Shannon Smyth,0.6881129244,0.4424639742,0.09005440243,0.3041805841
Robert Crouch,0.1302339621,0.5149333435,0.7823272605,0.3495943067
George Froelich,0.7755136377,0.344825291,0.895661389,0.6024654156
James Brown,0.2529024115,0.4221563565,0.1297221991,0.03725396969
Michael Vandyke,0.8329702122,0.05551560658,0.1676338755,0.1803949292
Dorothy Oyler,0.8524704289,0.2168630618,0.06425659985,0.4675026263
Karl Cavanaugh,0.797843636,0.5648512132,0.3858605373,0.2692099353
Joan Walls,0.9427735366,0.03643282696,0.9194612399,0.9371781881
Jerry Willardson,0.6830568372,0.1118669833,0.4826575126,0.7884334387
Dennis Olson,0.4978643388,0.4831135151,0.3492032732,0.7055064886
Susan Rodriguez,0.8833481481,0.1223301935,0.9254862123,0.09110497784
Catherine Robinson,0.5533288454,0.288112176,0.4254252377,0.3696637328
Hillary Baker,0.4154745107,0.0399848658,0.8927808682,0.08599220619
Rosa Hoang,0.7518901153,0.6540699719,0.8413019426,0.6038574935
Gerald Lary,0.4033356131,0.02027961636,0.1066529775,0.6048557691
Laurie Pree,0.5723430191,0.8346993419,0.1606595993,0.1834242626
